pair_id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed,condition
pair_000,reference_000.png,search_000.png,794.9,198.7,744.9,148.7,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,default
pair_001,reference_001.png,search_001.png,461.4,291.0,411.4,241.0,100,100,finfet_22nm,5.0,10.0,2000.0,900.0,0.3,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,clean
pair_002,reference_002.png,search_002.png,270.7,835.2,220.7,785.2,100,100,finfet_28nm,5.0,10.0,2000.0,55.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,low_dose
pair_003,reference_003.png,search_003.png,590.1,131.9,540.1,81.9,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,4.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,heavy_drift
pair_004,reference_004.png,search_004.png,270.5,578.6,220.5,528.6,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.012,0.0,0.0,2600.0,320.0,0.35,42,speckle_salt_pepper
pair_005,reference_005.png,search_005.png,795.3,219.3,745.3,169.3,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,3.5,2.2,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,charging
pair_006,reference_006.png,search_006.png,920.5,190.9,870.5,140.9,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,default
pair_007,reference_007.png,search_007.png,318.5,875.9,268.5,825.9,100,100,dram_dense,5.0,10.0,2000.0,900.0,0.3,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,clean
pair_008,reference_008.png,search_008.png,311.1,268.5,261.1,218.5,100,100,dram_dense,5.0,10.0,2000.0,55.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,low_dose
pair_009,reference_009.png,search_009.png,527.4,660.0,477.4,610.0,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,4.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,heavy_drift
pair_010,reference_010.png,search_010.png,900.3,393.6,850.3,343.6,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.012,0.0,0.0,2600.0,320.0,0.35,42,speckle_salt_pepper
pair_011,reference_011.png,search_011.png,592.4,697.0,542.4,647.0,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,3.5,2.2,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,charging
pair_012,reference_012.png,search_012.png,551.3,149.5,501.3,99.5,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,default
pair_013,reference_013.png,search_013.png,545.6,405.7,495.6,355.7,100,100,finfet_7nm,5.0,10.0,2000.0,900.0,0.3,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,clean
pair_014,reference_014.png,search_014.png,937.3,50.1,887.3,0.1,100,100,dram_loose,5.0,10.0,2000.0,55.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,low_dose
pair_015,reference_015.png,search_015.png,262.0,920.9,212.0,870.9,100,100,dram_loose,5.0,10.0,2000.0,200.0,4.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,heavy_drift
pair_016,reference_016.png,search_016.png,343.6,669.6,293.6,619.6,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.012,0.0,0.0,2600.0,320.0,0.35,42,speckle_salt_pepper
pair_017,reference_017.png,search_017.png,857.1,859.4,807.1,809.4,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,3.5,2.2,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,charging
pair_018,reference_018.png,search_018.png,786.8,806.4,736.8,756.4,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,default
pair_019,reference_019.png,search_019.png,879.0,933.6,829.0,883.6,100,100,dram_compact,5.0,10.0,2000.0,900.0,0.3,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,clean
pair_020,reference_020.png,search_020.png,467.7,699.4,417.7,649.4,100,100,dram_legacy,5.0,10.0,2000.0,55.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,low_dose
pair_021,reference_021.png,search_021.png,254.4,282.6,204.4,232.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,4.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,heavy_drift
pair_022,reference_022.png,search_022.png,471.9,278.6,421.9,228.6,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.012,0.0,0.0,2600.0,320.0,0.35,42,speckle_salt_pepper
pair_023,reference_023.png,search_023.png,850.5,553.1,800.5,503.1,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,3.5,2.2,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,charging
pair_024,reference_024.png,search_024.png,458.1,648.9,408.1,598.9,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,default
pair_025,reference_025.png,search_025.png,926.6,273.1,876.6,223.1,100,100,finfet_45nm,5.0,10.0,2000.0,900.0,0.3,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,clean
pair_026,reference_026.png,search_026.png,916.8,852.2,866.8,802.2,100,100,finfet_28nm,5.0,10.0,2000.0,55.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,low_dose
pair_027,reference_027.png,search_027.png,803.1,785.9,753.1,735.9,100,100,dram_wide,5.0,10.0,2000.0,200.0,4.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,heavy_drift
pair_028,reference_028.png,search_028.png,403.2,416.5,353.2,366.5,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.012,0.0,0.0,2600.0,320.0,0.35,42,speckle_salt_pepper
pair_029,reference_029.png,search_029.png,730.5,876.0,680.5,826.0,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,3.5,2.2,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42,charging
